"ASSET","BANKS","DEP","EQNM","ID","NETINC","STNAME","YEAR"
223217591,93,191045272,21848681,"CB_2021_FL",2432789,"Florida","2021"
209393,1,181282,27312,"CB_2021_FM",2028,"Federated States of Micronesia","2021"
148088948,141,128828099,15233625,"CB_2021_GA",1956219,"Georgia","2021"
3204706,2,2933167,228179,"CB_2021_GU",15111,"Guam","2021"
56623453,5,50123119,5012344,"CB_2021_HI",619223,"Hawaii","2021"
108230773,256,92069711,11495473,"CB_2021_IA",1388112,"Iowa","2021"
8772715,10,7646455,876511,"CB_2021_ID",103192,"Idaho","2021"
642167684,345,544285689,60473915,"CB_2021_IL",6580576,"Illinois","2021"
131188260,75,108522766,14229283,"CB_2021_IN",1739904,"Indiana","2021"
80022196,206,68159813,8491946,"CB_2021_KS",962294,"Kansas","2021"
72871156,119,61934369,7821247,"CB_2021_KY",890029,"Kentucky","2021"
62558226,96,54509568,6400130,"CB_2021_LA",764268,"Louisiana","2021"
394672068,16,331836957,38095275,"CB_2021_MA",3416693,"Massachusetts","2021"
51749825,24,44235822,5810196,"CB_2021_MD",741860,"Maryland","2021"
14083845,5,11829284,1594995,"CB_2021_ME",240695,"Maine","2021"
0,0,0,0,"CB_2021_MH",0,"Marshall Islands","2021"
58216688,75,48258506,5572135,"CB_2021_MI",820648,"Michigan","2021"
92483688,252,81017551,9156099,"CB_2021_MN",1160799,"Minnesota","2021"
235015127,213,200976744,21244772,"CB_2021_MO",2844108,"Missouri","2021"
0,0,0,0,"CB_2021_MP",0,"Northern Mariana Islands","2021"
161013777,64,137050286,17578280,"CB_2021_MS",1529497,"Mississippi","2021"
63415053,38,53252288,6867367,"CB_2021_MT",765321,"Montana","2021"
3149431519,29,2661926742,310752448,"CB_2021_NC",32921585,"North Carolina","2021"
43439859,65,38348502,4295767,"CB_2021_ND",748999,"North Dakota","2021"
91697332,150,78842040,9407863,"CB_2021_NE",1358911,"Nebraska","2021"
3302281,4,2780229,383529,"CB_2021_NH",40075,"New Hampshire","2021"
143499751,30,114663792,16461047,"CB_2021_NJ",1966176,"New Jersey","2021"
15586037,31,13710780,1466814,"CB_2021_NM",214668,"New Mexico","2021"
35693222,15,26673796,6889553,"CB_2021_NV",1350744,"Nevada","2021"
1481556638,88,1215503808,140234262,"CB_2021_NY",12252368,"New York","2021"
4539774779,134,3578858981,425235245,"CB_2021_OH",54390724,"Ohio","2021"
141323773,180,120250951,14313030,"CB_2021_OK",1926645,"Oklahoma","2021"
38166316,13,33522488,3600130,"CB_2021_OR",534383,"Oregon","2021"
98639877,7,89527594,7405125,"CB_2021_OT",1232667,"Other Areas","2021"
251074019,87,214629711,26606459,"CB_2021_PA",2830266,"Pennsylvania","2021"
94826823,3,86050620,7114436,"CB_2021_PR",1209617,"Puerto Rico","2021"
0,0,0,0,"CB_2021_PW",0,"Palau","2021"
197170927,4,164780849,23690798,"CB_2021_RI",2425761,"Rhode Island","2021"
47370677,35,41912874,4607992,"CB_2021_SC",552737,"South Carolina","2021"
3501174161,56,2904747293,343024184,"CB_2021_SD",36756639,"South Dakota","2021"
213434958,116,182694081,23108668,"CB_2021_TN",2771912,"Tennessee","2021"
569076166,371,488389947,60814860,"CB_2021_TX",7292713,"Texas","2021"
22102323647,4231,18325632375,2203333804,"CB_2021_US",261933567,"United States","2021"
22200963524,4238,18415159969,2210738929,"CB_2021_USA",263166234,"United States & Other Areas","2021"
813928977,41,676703858,77590442,"CB_2021_UT",18626932,"Utah","2021"
815117012,63,659288470,93219514,"CB_2021_VA",14979961,"Virginia","2021"
398955,1,362525,35198,"CB_2021_VI",5911,"Virgin Islands Of The U.S.","2021"
4007662,6,3546705,353480,"CB_2021_VT",42425,"Vermont","2021"
106076266,33,90902892,11163159,"CB_2021_WA",1178102,"Washington","2021"
129741601,151,108982295,14378071,"CB_2021_WI",1494900,"Wisconsin","2021"
40604062,43,34021383,5130456,"CB_2021_WV",536418,"West Virginia","2021"
11220263,28,10030959,1050541,"CB_2021_WY",136809,"Wyoming","2021"
7870527,5,5912665,894851,"CB_2020_AK",101220,"Alaska","2020"
299905496,103,254621657,34435029,"CB_2020_AL",-206737,"Alabama","2020"
134045136,85,108521863,17862967,"CB_2020_AR",1487931,"Arkansas","2020"
0,0,0,0,"CB_2020_AS",0,"American Samoa","2020"
41951321,13,36792110,3944888,"CB_2020_AZ",579712,"Arizona","2020"
997569630,133,838189757,104932496,"CB_2020_CA",4570578,"California","2020"
70559554,67,61510645,6568565,"CB_2020_CO",793354,"Colorado","2020"
102752290,11,86161532,11619465,"CB_2020_CT",515692,"Connecticut","2020"
1693659,4,1418633,162636,"CB_2020_DC",5802,"District Of Columbia","2020"
1149782426,17,950375019,123470359,"CB_2020_DE",4077505,"Delaware","2020"
199192749,93,164807745,20448002,"CB_2020_FL",1207561,"Florida","2020"
205916,1,177397,27497,"CB_2020_FM",2164,"Federated States of Micronesia","2020"
168339879,147,145530919,18467178,"CB_2020_GA",1273110,"Georgia","2020"
2735793,2,2463058,228894,"CB_2020_GU",9985,"Guam","2020"
51396742,6,44663549,4814836,"CB_2020_HI",384324,"Hawaii","2020"
100578191,264,83644247,10927970,"CB_2020_IA",1081183,"Iowa","2020"
7798725,10,6242016,780183,"CB_2020_ID",79671,"Idaho","2020"
592194376,354,496384245,59734127,"CB_2020_IL",4481331,"Illinois","2020"
118494589,78,95358089,13524890,"CB_2020_IN",1442981,"Indiana","2020"
75022392,213,62658849,8247650,"CB_2020_KS",808935,"Kansas","2020"
68061689,124,56827089,7455836,"CB_2020_KY",775764,"Kentucky","2020"
56080821,96,47515295,5892614,"CB_2020_LA",486948,"Louisiana","2020"
389855800,17,312144891,35328001,"CB_2020_MA",2509847,"Massachusetts","2020"
44441081,24,36804007,5013845,"CB_2020_MD",412898,"Maryland","2020"
13095526,5,10613816,1493895,"CB_2020_ME",168031,"Maine","2020"
0,0,0,0,"CB_2020_MH",0,"Marshall Islands","2020"
52157199,80,42495889,5234986,"CB_2020_MI",704403,"Michigan","2020"
85403809,264,73389571,8740180,"CB_2020_MN",1004649,"Minnesota","2020"
202116923,231,170256289,19979289,"CB_2020_MO",2336682,"Missouri","2020"
0,0,0,0,"CB_2020_MP",0,"Northern Mariana Islands","2020"
127095702,65,106746536,14463592,"CB_2020_MS",819997,"Mississippi","2020"
51350374,39,42077664,5964904,"CB_2020_MT",698222,"Montana","2020"
2846408574,32,2377653796,292654457,"CB_2020_NC",19238018,"North Carolina","2020"
