,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Georgia,440000,482000,440000,491000,566000,629000,756000,1003000,1255000,1526000,1925000,1793000,1801000,1775000,1742000,1907000,2132000,2234000,2281000,2392000,2540000,2659000,2751000,2985000,3135000,3280000,3479000,3717000,4050000,4542000,5218000,5745953,6450574,7375536,8062614,8767363,10052223,12065800,14332605,15276926,15645687,15964523,17970002,20792662,22007377,23266072,25598005,30363487,34550700,39960874,46952434,51227677,53343022,59131170,65175055,70290402,70991836,77613328,90089980,99535026,132672445,147074679,69243703,76667557,86243752,168190183,175533061,184921125,205406002,216155218,265501360,276268291,279655431,293283028,263730436,261860853,261726482,259543000,261907517,279693424,286187841,302742864,308296462,319194284,145515629,168339879,148088948,149304317
Hawaii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,705000,785000,850000,887000,898000,1023000,1137000,1174956,1306872,1509829,1682142,1886511,2125060,2358399,2656771,2816380,2928192,3244624,3491973,4190322,4870687,5381153,6178047,6701778,7686100,8820285,9960895,11243055,12471948,13889920,16788983,19413825,20764865,22437159,22260681,22389898,21722800,22066133,22891012,24150055,23567542,24392628,23417358,23319130,24392544,26194089,28153547,29365326,30078289,30384627,32401492,33656006,35163402,36103313,37287946,39141702,41201062,42823512,44602239,44990105,45675189,51396742,56623453,57019695
Iowa,553000,642000,623000,656000,711000,779000,900000,1174000,1452000,1786000,2140000,2239000,2413000,2297000,2288000,2433000,2478000,2585000,2755000,2835000,2826000,2884000,3030000,3352000,3283000,3385000,3645000,3891000,4073000,4493000,4927000,5201190,5757624,6355999,6859682,7388948,8192570,9492424,10894319,12015114,13265002,14606004,16094464,17857958,19697408,21743647,23789387,25487770,26923700,27962537,29059855,30106100,30250102,30854367,32181262,34566512,36341191,37357165,38717248,39750130,42018332,42514493,43307033,46593772,44896888,44588080,47386995,49806443,49922073,45968563,48262064,50578598,52695805,56207451,58439758,59296930,63017973,67559197,68550515,71191512,73493740,77293404,80768708,83494430,87522209,100578191,108230773,112078065
Idaho,82000,97000,100000,100000,107000,117000,134000,196000,264000,343000,420000,444000,455000,450000,443000,460000,495000,534000,543000,569000,578000,593000,614000,686000,695000,708000,746000,788000,831000,906000,984000,1037825,1154493,1258641,1364520,1511918,1718852,2083634,2414591,2746445,3002644,3302747,3776880,4296491,4609205,5106264,5477396,5883914,6437900,6823220,7207803,7063466,7169917,7462684,8280361,8583301,9760034,10062053,10941529,12222838,12975249,6657267,1427299,1809809,2114185,2507269,2840479,3302275,3691046,4233686,5086608,5354258,5997409,6448123,6379757,6252672,7368960,6146740,6076010,4446492,4635672,4961540,5559342,5961563,5708568,7798725,8772715,9247777
Illinois,3933000,4430000,4296000,4720000,5189000,5736000,6353000,7845000,9040000,10971000,12534000,11606000,12550000,12547000,13221000,13879000,14651000,15461000,15829000,16296000,16749000,17191000,17341000,18342000,18462000,19302000,21023000,22501000,23642000,26229000,28466000,30116623,33198543,36722511,37253439,41295980,45842776,54065281,63111206,70859405,73708407,78647460,87224761,117184652,132790311,141156629,156570987,158088476,163946000,159010226,163380526,173066328,178873951,184690501,192366813,196886184,199139893,200874999,211980180,224764460,238710753,247068657,265401070,297307328,328726971,355509976,435928432,486431766,538581942,300818918,334961714,338792776,351043919,332563066,297158069,294850707,370165909,369963758,371118032,389336322,411929208,436032256,466986637,486071350,499056729,592194376,642167684,607916549
Indiana,759000,890000,910000,946000,1034000,1119000,1288000,1658000,2074000,2548000,2989000,2980000,3161000,3175000,3248000,3477000,3709000,3956000,4175000,4307000,4465000,4622000,4660000,4900000,5026000,5253000,5589000,5808000,6006000,6914000,7765000,8427145,9299610,10657158,11534921,12514422,13905987,15654772,18119106,19754060,21161886,23084814,25555882,28220552,30510757,32724529,34513533,36529039,39818000,42538312,45777447,48925965,49966273,54226060,56311859,58254358,59162369,59808020,61740201,64606465,68807901,66536940,66523387,73366934,65039580,84621807,113666056,114124275,102323515,87186627,85823229,60133435,60230152,58668140,56492093,55138567,55635156,59974813,62314900,67541681,72955194,79818434,89018578,92301792,102159383,118494589,131188260,161495748
Kansas,373000,405000,388000,385000,408000,433000,524000,759000,983000,1209000,1465000,1435000,1512000,1559000,1547000,1633000,1792000,1905000,1935000,2057000,2063000,2198000,2236000,2434000,2503000,2658000,2871000,3068000,3213000,3493000,3740000,4053855,4486900,4888560,5229366,5692539,6504232,7391136,8519989,9225058,10134876,11126867,12476411,13567154,15289420,16597576,18162026,19619042,21045200,22624000,23808660,24564339,24700585,25528931,26705623,29541051,29750483,30141558,30317578,30662439,31427952,28607049,31317054,34013443,34761835,37881466,36502912,39212015,40982219,45340167,48236066,47037559,50563930,50745402,50213178,50166129,49885090,51263199,51413234,54126421,54729763,56875870,58275637,60195144,65123421,75022392,80022196,81203844
Kentucky,472000,528000,510000,521000,552000,592000,708000,908000,1086000,1341000,1654000,1579000,1677000,1699000,1643000,1727000,1916000,1989000,2004000,2119000,2173000,2271000,2339000,2451000,2521000,2545000,2884000,3046000,3141000,3525000,3796000,4050124,4644806,5126318,5492083,6118337,6913667,7977190,9110770,10699520,11363374,12290513,14104336,16045470,17877257,19440035,22060416,23576427,25633800,27744306,30085487,33190198,34897321,37281243,39591146,41426244,42537728,43807067,45544579,49033985,49638478,52685388,50997905,52308922,51438323,52511099,55736215,52067604,44445808,48710635,50047851,42958788,45499516,48166909,50661672,51671493,52621024,52892577,53472753,55201880,54490061,56617025,58054833,57893088,59404084,68061689,72871156,72690721
Louisiana,421000,510000,520000,558000,606000,636000,722000,957000,1126000,1391000,1705000,1631000,1736000,1800000,1842000,1949000,2150000,2239000,2388000,2573000,2767000,2991000,3002000,3049000,3198000,3254000,3458000,3624000,3834000,4331000,4772000,5327655,5853371,6363824,6645832,7419077,8767470,10254525,11646714,13239429,14101279,15369442,17214264,19156370,21810824,24944905,26401759,30894211,33020700,35260496,36796292,37083639,35583776,35771090,36797648,37369156,37504713,39271044,40063475,42175469,45243939,46965725,46726108,48962513,50781440,51650967,42804604,45115866,48943663,54921469,67434358,71173035,44157985,48917938,54451521,56432464,62299467,64560724,66204947,58036265,65666672,68786852,72095564,75965388,77633936,56080821,62558226,66697466
Massachusetts,2007000,2123000,2025000,2107000,2294000,2573000,2664000,3283000,3820000,4429000,4909000,4324000,4374000,4277000,4446000,4715000,4962000,5006000,4973000,5150000,5402000,5449000,5506000,5804000,5877000,6227000,6649000,6906000,6957000,7631000,8372000,9030494,10466277,11842297,12308645,13665730,14318339,15907743,17380000,18267200,18331480,18789098,20703948,27916446,32078938,36205462,39908343,44687527,51494000,58076156,69105159,87150478,97618283,113636526,112844227,97878210,91980617,94457394,97715137,109148786,117886839,153974864,123436666,137540255,169672161,111333510,116973340,131666623,141236622,162220620,168484894,178581386,169170644,194957919,178707108,181238088,241950339,251570288,273619467,313012738,288017558,290158747,289058651,298514661,309533436,389855800,394672068,400586365
Maryland,569000,637000,594000,641000,727000,809000,902000,1052000,1307000,1594000,1736000,1584000,1604000,1554000,1617000,1704000,1843000,1950000,1961000,2057000,2132000,2247000,2267000,2380000,2406000,2584000,2782000,2960000,3223000,3568000,3868000,4150258,4599859,5054198,5335452,5907437,6816177,7787563,8804511,9485396,10226839,11204340,12478108,14041272,15489968,16546007,18056510,20178836,22539900,27981856,33316713,38716597,44887826,48560471,53132808,57011657,54727255,53083447,51992570,87316840,68880982,38913273,35195658,44547321,45384359,46665691,49154559,50032746,33958075,37125936,41086622,44148052,29725994,28132671,23645733,23240675,24839992,25994600,25875506,27631381,29729451,32789833,35580702,41138275,37963643,44441081,51749825,53666416
