,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
New Jersey,1564000,1704000,1668000,1675000,1813000,1974000,2152000,2537000,3092000,3864000,4558000,4336000,4385000,4410000,4537000,4850000,5088000,5273000,5413000,5580000,5839000,6119000,6291000,6661000,6930000,7231000,7761000,8324000,8559000,9451000,10001000,10626294,11856228,13202671,13686346,15023849,17063256,19299144,20352217,20882387,21784457,23463784,25709684,27492713,28968868,30340025,31769487,35045297,39975300,44702191,50306969,59572736,62062674,69347078,74818686,78251322,81233697,85842581,84425546,73006961,84731242,59273112,62418448,74217704,82344917,79977353,61390789,68055046,76997796,84215386,68356705,45717989,43282087,40923704,47846592,47077296,48597502,48394666,41818707,47213270,51147067,54984122,59081280,71296220,92915520,104461624,114663792,107246849
New Mexico,43000,53000,57000,61000,66000,69000,82000,126000,162000,202000,271000,271000,287000,307000,324000,361000,403000,444000,463000,490000,527000,573000,596000,668000,695000,713000,770000,800000,893000,918000,945000,1002871,1102735,1217018,1298022,1529416,1839519,2200622,2484643,2650842,2986616,3319732,3831070,4295090,4726819,5273095,5764042,6629115,7253000,7737313,8091410,8523332,8374588,8642658,8976813,9578459,10710769,10929350,11157431,11117204,11524012,11927721,9003335,11539878,11131405,11314006,11582581,12734973,13484294,9936336,10672779,11941642,13113626,13753271,14205620,14237734,11575661,12244540,13054327,13757780,11460706,11679071,10293783,10556656,9795638,11635860,13710780,14472144
Nevada,26000,32000,34000,35000,41000,47000,52000,76000,99000,121000,156000,164000,167000,164000,166000,179000,202000,225000,246000,280000,291000,308000,331000,375000,413000,441000,493000,572000,616000,656000,698000,731536,838602,956227,997958,1152656,1371207,1545068,1752022,1752424,1884940,2143151,2431116,2876931,3126858,3198921,3439273,3933287,4080400,4440303,4828605,6047147,6135722,6511131,7830852,8911211,9085535,10103498,10245351,9951548,10626240,9725307,8140734,8910904,11444750,13264456,16662910,21299054,26844742,25336952,31181885,697586116,795015011,767323814,784143861,805494308,11935994,12519946,10504005,9284450,12406474,14277443,10629468,9569381,13135523,29618127,26673796,42164472
New York,13178000,14278000,13180000,14236000,17074000,20487000,20893000,25569000,27421000,31790000,36071000,30426000,30975000,29831000,30307000,32249000,33786000,34634000,34631000,36477000,37944000,38120000,38873000,41959000,41105000,44569000,48684000,50050000,51557000,58784000,63965000,67267963,76783081,82047861,80239937,86838385,93951436,106274852,115054647,132714015,126411776,127302682,140230016,281509980,314720628,347656236,353263668,368847281,381613500,401729678,434714892,468802261,477972363,474435937,481966599,475985270,480748455,469396806,493920817,524001758,547328778,602522099,630699217,677481636,729819047,790721852,826430683,877389946,968414806,671901148,735295642,277323281,232503270,355825083,328176545,354657754,478131308,557260165,590450029,620105053,691731658,662191119,714086640,736848265,814631125,1048104164,1215503808,1328004614
Ohio,1904000,2211000,2192000,2247000,2486000,2758000,3154000,3904000,5064000,6163000,7172000,6716000,6933000,7100000,7242000,7830000,8348000,8805000,9177000,9311000,9820000,10158000,10270000,10577000,11026000,11279000,11898000,12706000,12986000,14314000,15719000,16818647,18617951,20087448,20343435,21688000,23578798,26678839,28273675,29635807,31134757,33295721,36264013,40144270,41721443,43715728,45704108,48471886,52970100,56824787,64062809,70359214,74395169,80932135,86298224,89705465,92198799,94172857,96539696,106174845,109236776,117027314,154419576,170408485,187007934,229763324,286795239,340939741,356801793,868268028,911701438,1065687458,1180361648,1525158115,1461816159,1471865612,1675386831,1760245816,1879079485,2027645979,1924315206,2161120815,2235107203,2283036071,2421099871,3182420005,3578858981,3461278289
Oklahoma,383000,422000,437000,447000,459000,466000,545000,712000,912000,1177000,1464000,1402000,1528000,1598000,1647000,1730000,1876000,1995000,2047000,2138000,2227000,2301000,2365000,2542000,2567000,2708000,2923000,2980000,3135000,3481000,3799000,4074309,4537380,4853219,4877721,5607746,6314229,7408064,8269477,9209678,10201853,11535853,13144160,14573444,16841473,19379413,23580021,25158271,26073100,27523773,27453758,25470243,23726242,23081135,23058444,23690718,24821264,26633365,26906817,27438874,28815879,30057653,27992637,28705576,31038336,33377309,35164442,35539118,35234839,34591641,38733878,41580940,44302976,48325699,49806331,53134273,64503288,70156994,69254215,70414680,71530333,76296213,79759707,80038432,88708359,106464338,120250951,118320533
Oregon,242000,281000,280000,288000,314000,352000,435000,665000,899000,1119000,1408000,1336000,1374000,1323000,1268000,1412000,1487000,1600000,1614000,1731000,1817000,1805000,1764000,1949000,1988000,2005000,2166000,2321000,2565000,2682000,2954000,3099448,3373464,3860640,3735656,4040314,4517876,5169436,5478529,5576806,6014750,6775979,7766141,9161297,10103991,10573845,11013425,11528217,12410600,12975373,13160466,14484511,14777233,15301908,16803039,17991451,20272280,20572511,21419681,21357963,22946033,16125338,4749400,5329015,5742137,6508867,7094099,7412512,8860438,11338737,13190817,16550672,17597549,18333399,19777697,19434789,24076291,25793943,15169989,24151648,25169399,27905305,24129252,25075735,26729642,30280079,33522488,33921786
Pennsylvania,4146000,4656000,4351000,4503000,5022000,5403000,5791000,6461000,7461000,8753000,10137000,9459000,9848000,9790000,9977000,10766000,11240000,11566000,11707000,12118000,12403000,12865000,13017000,13597000,13684000,14260000,15107000,15841000,16830000,18502000,19922000,21285037,23651148,26066608,26010704,28822717,31433262,35792904,39710625,42660632,44485826,46869129,51829608,61857819,67308785,71139293,75343205,80203437,86259400,93648255,98954000,109068085,113059684,122903644,129133243,136337577,138126252,141297107,140070728,133209503,138650766,184270957,194849617,137003178,135343457,138683765,126566311,129143594,131775408,144933436,180666109,185360667,213590404,178250264,97025772,99683643,101534109,108624649,112396434,119810926,116542126,119127009,127854941,139534348,158782580,190925523,214629711,211681878
Rhode Island,225000,247000,234000,236000,259000,285000,318000,410000,468000,585000,646000,639000,629000,632000,631000,679000,769000,785000,768000,778000,822000,806000,793000,819000,837000,871000,933000,969000,1009000,1117000,1213000,1262249,1444446,1525375,1372043,1571602,1753078,2144627,2390590,3099348,3222913,3441223,3771833,4389275,4920464,5487088,5819350,6559481,7270300,5753975,7497208,8994370,10055733,10797210,11853796,10995194,10871723,10348963,10042040,10305186,10633887,4958602,54764199,56592694,50595568,114538421,140430107,139346304,156284302,156768894,11422166,12011949,80302967,76755619,93894127,88912621,94215692,102177669,75656861,75290389,82174174,87962628,94684557,99273450,132781528,157310271,164780849,190517239
South Carolina,125000,148000,138000,137000,156000,181000,214000,309000,383000,500000,620000,656000,666000,660000,645000,663000,788000,832000,837000,833000,848000,859000,874000,947000,1006000,1023000,1106000,1181000,1219000,1332000,1465000,1579279,1755515,1984636,2141337,2418850,2789596,3208453,3719926,3867270,4123916,4427318,4966699,5282889,5810143,6324903,7001711,8300729,9381700,10514995,11708144,13175017,13660170,15318087,17476903,18510531,19023374,19431034,20616554,22310499,19738319,21277134,14505115,15605562,16312216,18438880,20152276,21507709,24718998,27211440,31437054,29339062,35140271,37453543,39827548,25863027,26446429,30322469,29769774,29950259,21787256,22222737,28215457,29322848,30813503,18629653,41912874,45234556
South Dakota,83000,91000,83000,86000,99000,106000,127000,192000,239000,287000,396000,455000,528000,515000,497000,505000,530000,554000,564000,591000,589000,589000,629000,727000,724000,750000,808000,875000,926000,986000,1058000,1119672,1213428,1325080,1439625,1571353,1763952,2016819,2367997,2614052,2913576,3229056,3442995,3784679,4183820,4535128,6540045,6702850,7886300,8629215,8124068,8068220,8353262,8904175,9455034,10934395,11251382,11164267,11000690,11377676,11865673,13206698,11786563,11660116,12043038,13484658,14536600,14293005,14659648,294368659,333046701,351249798,395891917,408609619,549661813,927431734,1819689905,1970711379,2112539755,2187431130,2214907983,2327423002,2410531620,2414402596,2526915240,2842009873,2904747293,2854010269
Tennessee,431000,509000,490000,524000,575000,647000,817000,1090000,1291000,1612000,1949000,1878000,1940000,1935000,1940000,2056000,2199000,2293000,2422000,2552000,2632000,2729000,2789000,3044000,3212000,3314000,3617000,3805000,4183000,4717000,5050000,5364962,5839297,6208619,6593376,7442086,8681961,10328621,11690558,12287497,13097519,14249009,15839578,17288082,18644477,19874781,21251192,23011847,25070400,27422025,29533148,32271070,34053848,36297086,38060001,39871161,41338851,44104798,46598902,48532121,52413135,57184882,56296057,76453764,64834470,61947066,72654343,78999981,82436388,87948136,57308867,57814755,59079411,63848739,62818122,63578474,62861014,65006164,65575926,68939114,75078786,82034076,100962451,108187614,110673102,167121772,182694081,176878495
Texas,1152000,1324000,1349000,1424000,1590000,1736000,2053000,2878000,3599000,4584000,5824000,5509000,6057000,6255000,6593000,7384000,7945000,8485000,8881000,9525000,9897000,10291000,10326000,11485000,11601000,12284000,13422000,14011000,14821000,16632000,17842000,18724633,20828231,23445849,23721775,26343055,29999970,34681551,38556977,42515844,47282132,52999363,60275491,74349401,85270211,97476491,114818927,131092242,145751300,158718637,168296420,165031877,151235043,143398242,143899458,145644018,147468884,148236127,151183578,153404956,155285922,168217788,191791485,149093264,143242384,133163630,120866499,129088312,112802640,123815148,140980839,148060361,203105352,205118700,234816630,251008804,268969062,302096956,299121737,305584530,303770532,312351290,324628953,328907699,350222344,428566346,488389947,479187769
Utah,136000,145000,148000,158000,164000,178000,207000,315000,384000,455000,558000,553000,559000,564000,564000,590000,654000,696000,723000,788000,821000,844000,840000,909000,951000,1001000,1057000,1127000,1173000,1279000,1418000,1478557,1541102,1695575,1657284,1838294,2099108,2460313,2707811,2958597,3372847,3801934,4374514,4950802,5413485,5686520,6239478,6767984,7257100,7753515,8367518,9062263,8794066,8784352,9428032,10587111,10509871,10697436,11211245,11957330,13848218,18835680,20131589,22891854,29812961,69597144,96143831,97528809,107840617,100172467,115351483,157963043,191239775,223378531,199561432,205104212,222393926,259090486,291192266,327606775,371555759,372881356,387025731,476631226,509649051,623243906,676703858,728641545
Virginia,500000,569000,546000,585000,635000,699000,844000,1076000,1255000,1586000,1851000,1785000,1802000,1795000,1860000,2015000,2210000,2371000,2390000,2568000,2661000,2818000,2913000,3116000,3196000,3264000,3552000,3791000,4066000,4581000,5063000,5325334,6126754,6876046,7210529,8023945,9210785,10753060,12241494,13083867,13720895,14854842,16417876,17854396,18887613,20215738,21859104,24716623,27687000,30668710,35041149,41174079,45073088,48475812,51311009,54671509,55789984,56526343,57497952,57897385,56362346,64890380,55852558,52006018,54529817,42935253,50249226,60240964,72511225,87848031,108312634,108465336,120603340,285423280,294330380,307361673,338864398,415922529,403047309,434978609,461439982,495839437,499780054,511822750,548625988,624576659,659288470,596924544
Vermont,100000,106000,106000,108000,112000,117000,123000,138000,159000,191000,237000,240000,243000,242000,244000,255000,273000,283000,282000,292000,308000,323000,333000,381000,391000,403000,424000,456000,477000,514000,570000,602184,664618,745128,785929,878355,991726,1128509,1209695,1237236,1353412,1486037,1677857,1842360,1988728,2166340,2235543,2547015,2919800,3260379,3606845,4147249,4419242,4830539,5170648,5341364,5301022,4811750,4833500,4875757,5074288,5205722,5908894,6380806,6097662,6298321,6748188,5185870,5387830,5570636,5938956,5918422,5585515,2725872,2962518,3052563,3291637,3511127,3441044,3262333,3542471,3613938,2219926,2343301,2388634,3161432,3546705,3667743
Washington,379000,439000,434000,442000,495000,584000,706000,1070000,1461000,1868000,2165000,1964000,1978000,1892000,1879000,1984000,2076000,2176000,2185000,2313000,2400000,2459000,2462000,2627000,2712000,2722000,2934000,3119000,3197000,3483000,3793000,4171083,4718733,5119545,5140248,5681743,6150016,6997505,7667948,8698903,9673765,10613291,12202816,14859466,17364959,18747499,20321763,21632485,21524400,23088986,25103725,26929004,27224390,27979010,31494646,32753150,33436232,34161011,34476901,34729167,37845580,35465986,9896575,10610943,10917642,15023375,16920323,19418785,20577970,21057898,29373843,34757313,39298861,43115567,41896819,34871258,32787097,33662332,47324539,42471632,44531761,51138097,55706382,57296959,60311131,75276204,90902892,89456852
Wisconsin,736000,847000,842000,875000,945000,1024000,1146000,1439000,1884000,2352000,2829000,2815000,2906000,2935000,2946000,3093000,3263000,3474000,3542000,3653000,3703000,3867000,3987000,4360000,4454000,4633000,4946000,5114000,5439000,5976000,6377000,6946359,7777579,8453274,8726974,9681812,10610439,12101321,13094209,13950902,15007562,16485504,18538624,19975829,21318976,22057821,23195379,24732023,27368200,29801020,31634521,34135165,34465728,35510718,37498923,39765088,41265099,43546778,44359112,45437413,47787140,51095528,55407557,62195299,53534543,58838002,59794497,59751876,66790993,71659992,78253120,88767370,93350254,97301937,102361389,102269255,63198918,66268564,66633221,69808086,74272935,76528978,79193661,83745457,85087030,97888703,108982295,110564657
West Virginia,241000,275000,276000,272000,292000,315000,361000,433000,538000,728000,879000,842000,896000,940000,892000,939000,1007000,1023000,1051000,1045000,1079000,1133000,1177000,1212000,1249000,1266000,1332000,1394000,1481000,1637000,1794000,1923837,2131388,2298288,2495655,2898881,3298014,3868734,4361835,4979614,5505941,6195486,6980006,7397586,8028595,8620322,9284068,9943291,10657800,11279989,11936300,12802554,13150846,13862031,14239763,14825237,15743874,16351460,16574074,16561443,17128257,18011296,17451492,18760688,17290670,13844309,14316804,14992704,13473703,14193955,15169789,15994248,16790346,18045338,19574362,20208627,20999499,22031698,22843694,23396075,25001413,27037402,22577629,24439371,27350462,31762664,34021383,34462392
Wyoming,58000,64000,63000,65000,70000,78000,86000,111000,136000,169000,211000,228000,240000,257000,256000,271000,306000,314000,319000,333000,333000,344000,364000,399000,405000,421000,455000,469000,505000,540000,554000,591190,638517,703040,740576,812747,933066,1108675,1267730,1421772,1633588,1877756,2156312,2404163,2734732,3034829,3278504,3587568,3789400,4005509,4050665,3914648,3792473,3753726,3838353,4125677,4267691,4398046,4514161,5315393,6335525,7017156,7215292,9099288,6061875,5711470,6034011,5336767,4502555,4611088,5054449,5779969,6407230,5339417,5633549,5957167,6298074,5895760,5683633,6085992,6454620,6770871,6903632,7278802,7652390,9165450,10030959,8434198
