,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Georgia,380000,420000,376000,426000,499000,559000,680000,927000,1177000,1441000,1829000,1687000,1687000,1651000,1608000,1763000,1974000,2063000,2096000,2188000,2320000,2420000,2492000,2702000,2820000,2927000,3110000,3288000,3588000,4025000,4597000,5062547,5727323,6523146,6643347,7247452,8268882,9924902,11142865,12156529,12356701,12891389,14583170,16590099,17681430,18893971,20377151,23430085,26315500,31422837,35319002,39032365,41390047,45679876,49839526,53226346,54862783,57155766,63286832,66920836,90877165,101590722,46936906,47332526,50827205,109422499,107703666,124649697,132360676,144869966,188814287,199830792,199155802,204922936,204451666,211283598,207081168,210053171,209739914,222356873,237166141,248763940,255110987,258003795,120589701,145530919,128828099,126383505
Hawaii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000,24000,27000,31000,37000,39000,0,0,0,647000,715000,767000,782000,794000,895000,988000,1022785,1159034,1354471,1464417,1655361,1890097,2107647,2353661,2443695,2599156,2893434,3116352,3704915,4362970,4792209,5433331,6020395,6715800,7583813,8674225,9807643,10743092,12181281,14610324,16317961,16190586,15342397,14319958,13971920,14377735,15158566,15681895,16603451,16802915,17453373,16453689,17453656,18218434,19420834,21039417,21817118,22170948,22719753,24445059,24773934,27428505,29345147,30710258,32748766,34917084,36976486,38724366,38412803,38679575,44663549,50123119,50329562
Iowa,497000,584000,562000,593000,643000,708000,824000,1094000,1367000,1693000,2036000,2125000,2290000,2162000,2142000,2274000,2305000,2398000,2555000,2620000,2600000,2645000,2772000,3072000,2985000,3066000,3303000,3478000,3637000,4078000,4478000,4710137,5222030,5780159,6167635,6634400,7345028,8369324,9549318,10588706,11799129,13035214,14224801,15605632,17035794,18485115,19819456,21523483,23136500,24068376,24906085,26038707,25975650,26320233,27448914,29178886,30790077,31665733,31996317,31929728,33533086,35032904,35951182,37960654,35820372,34299504,37906616,40259674,40104341,36394866,38098026,39988229,41108238,43863736,46278053,47530682,50656937,55193613,55947509,57575133,59821032,63452896,66081192,68247253,71708980,83644247,92069711,94111523
Idaho,74000,89000,91000,91000,97000,107000,123000,185000,252000,329000,404000,427000,436000,429000,420000,434000,467000,504000,512000,532000,543000,556000,572000,638000,646000,649000,685000,717000,755000,829000,897000,944801,1053332,1145748,1234935,1352166,1540748,1867344,2159954,2432981,2625581,2950020,3288468,3602347,3904198,4262143,4394446,4815315,5216000,5751602,5966140,5934257,5868210,6114410,6528958,6916143,7618414,7966091,8338977,8877525,9443909,5371823,1230291,1563899,1781333,2120380,2369197,2735100,3036913,3475069,4153056,4294375,4598042,4732836,5018519,4919754,5935014,5159294,5042991,3709571,3896989,4168462,4728573,5043553,4811265,6242016,7646455,8066817
Illinois,3533000,4023000,3885000,4304000,4771000,5290000,5879000,7347000,8500000,10377000,11894000,10911000,11814000,11775000,12396000,12994000,13710000,14444000,14748000,15128000,15515000,15884000,15931000,16809000,16839000,17468000,19047000,20103000,21119000,23654000,25456000,26535782,29398932,31490782,30986192,34547656,39124681,45431781,51825517,58609992,59445585,61685161,68836590,93028609,102860395,109217296,119764393,124167793,131493400,120304803,127099918,134660388,141940054,145905330,150780535,154696157,157012059,157061763,161215110,164976344,173322041,181329919,194798081,207587980,228409051,249444183,296413786,341626341,354052411,223277651,250203132,253316063,257979553,265304910,232336612,238067680,304812857,308235997,304941331,320670875,338857084,351749288,373906060,388719737,405298500,496384245,544285689,496547724
Indiana,668000,794000,810000,843000,928000,1008000,1173000,1539000,1948000,2411000,2840000,2816000,2985000,2987000,3046000,3260000,3476000,3703000,3902000,4012000,4151000,4281000,4285000,4494000,4598000,4748000,5059000,5222000,5355000,6211000,6921000,7511941,8317427,9502538,10141449,10848370,11978699,13485881,15342302,16512921,17909682,19579739,21804323,23701766,25443803,27112587,28292733,30101716,33290700,35540275,38462520,40666730,41702548,44253929,46045305,47621248,48493986,49212430,49751882,50255489,53617534,52056454,50892777,54531348,45341699,54582576,67506538,58577455,59608358,59485801,55657316,46010570,44771733,43894887,44746208,44670993,45004098,48789295,50515555,54322101,57960519,63789977,70418866,73354461,80976284,95358089,108522766,131173174
Kansas,333000,363000,345000,341000,363000,385000,474000,707000,927000,1149000,1401000,1364000,1434000,1474000,1455000,1530000,1681000,1785000,1805000,1913000,1909000,2026000,2046000,2227000,2275000,2410000,2600000,2766000,2881000,3155000,3365000,3649114,4051243,4410953,4639159,5016716,5613116,6433887,7343979,7964225,8790678,9747739,10803850,11705451,13164468,14077903,15124408,16549408,18035400,19670273,20658407,21516188,21620405,22381143,23395761,25953342,25903893,26015177,25480109,25481228,26570684,24513675,26704332,28870664,29025511,30984819,29408191,31196970,32840336,35969829,38097330,37503157,39838864,40015546,40445433,40452672,40109644,41756089,41873057,43619351,44535935,46524358,47378556,49213309,53472477,62658849,68159813,69925222
Kentucky,396000,454000,437000,451000,480000,520000,634000,833000,1007000,1258000,1563000,1480000,1570000,1586000,1523000,1598000,1778000,1840000,1845000,1949000,1994000,2082000,2136000,2233000,2294000,2291000,2616000,2754000,2825000,3194000,3440000,3660948,4215719,4641000,4917576,5436102,6112539,7036624,7828706,9089895,9798326,10613845,12181593,13688933,15005148,16089088,17761017,18998113,20887100,22655930,24191581,26518363,27996547,29916978,31748552,33492176,34075643,34881176,35110292,37352055,37893059,39768243,38246784,39921711,37173543,39497390,42282830,40092027,34325268,38096849,37814812,34008734,35783684,37691611,40486610,41704101,42374346,43203144,43562034,44333463,43704964,45790869,47033454,46722121,48000324,56827089,61934369,61741762
Louisiana,374000,462000,469000,506000,551000,579000,663000,896000,1061000,1318000,1627000,1546000,1646000,1701000,1732000,1835000,2022000,2104000,2238000,2412000,2571000,2785000,2775000,2802000,2920000,2964000,3148000,3285000,3459000,3920000,4340000,4796132,5284249,5706919,5840700,6540936,7684429,8813932,9719532,11017326,11938616,13106310,14724661,16290978,18542796,21195307,23829577,25921205,27966000,29901652,31343269,31674932,30686767,30867793,31988798,32584434,32983014,34090286,34037616,35522672,37092197,38249011,37591612,39538932,40533340,41944509,35018016,36605094,39149117,44094335,53756346,55625118,35919433,39024931,44399213,47162565,51062940,53976624,55353284,48479862,55461364,57967963,59028200,61824142,63943784,47515295,54509568,56886618
Massachusetts,1713000,1821000,1722000,1807000,1990000,2268000,2351000,2969000,3495000,4078000,4543000,3935000,3967000,3861000,4028000,4274000,4480000,4510000,4457000,4611000,4856000,4856000,4881000,5163000,5153000,5405000,5765000,5935000,5975000,6531000,7121000,7674126,9015790,10026068,9457782,10866542,11676509,12783430,14098491,14788448,14934707,14777612,16334224,21799613,24353181,27772327,29917709,33053804,38482100,45052100,53404226,66857427,74139907,84417507,83409767,76634534,67833006,69032013,69992896,77611321,82297167,106622581,84176542,94513373,115602795,72563256,74938750,83432833,91415904,107743495,116248508,124183864,123838488,132570556,113885590,124076375,186504325,195362787,215830279,250657629,236696047,233000167,232913101,230942439,241875046,312144891,331836957,326327561
