"BRANCHES","ID","STNAME","TOTAL","YEAR"
30,"CB_2003_GU","Guam",2,"2003"
0,"CB_2003_HI","Hawaii",6,"2003"
994,"CB_2003_IA","Iowa",400,"2003"
380,"CB_2003_ID","Idaho",15,"2003"
3163,"CB_2003_IL","Illinois",664,"2003"
1837,"CB_2003_IN","Indiana",148,"2003"
974,"CB_2003_KS","Kansas",362,"2003"
1424,"CB_2003_KY","Kentucky",217,"2003"
1291,"CB_2003_LA","Louisiana",139,"2003"
964,"CB_2003_MA","Massachusetts",37,"2003"
1327,"CB_2003_MD","Maryland",70,"2003"
271,"CB_2003_ME","Maine",16,"2003"
2,"CB_2003_MH","Marshall Islands",0,"2003"
2622,"CB_2003_MI","Michigan",158,"2003"
1148,"CB_2003_MN","Minnesota",464,"2003"
1721,"CB_2003_MO","Missouri",345,"2003"
9,"CB_2003_MP","Northern Mariana Islands",0,"2003"
1011,"CB_2003_MS","Mississippi",95,"2003"
279,"CB_2003_MT","Montana",77,"2003"
2282,"CB_2003_NC","North Carolina",68,"2003"
286,"CB_2003_ND","North Dakota",101,"2003"
615,"CB_2003_NE","Nebraska",259,"2003"
219,"CB_2003_NH","New Hampshire",13,"2003"
2220,"CB_2003_NJ","New Jersey",79,"2003"
394,"CB_2003_NM","New Mexico",51,"2003"
378,"CB_2003_NV","Nevada",35,"2003"
3533,"CB_2003_NY","New York",135,"2003"
3227,"CB_2003_OH","Ohio",191,"2003"
902,"CB_2003_OK","Oklahoma",273,"2003"
766,"CB_2003_OR","Oregon",35,"2003"
621,"CB_2003_OT","Other Areas",17,"2003"
3196,"CB_2003_PA","Pennsylvania",169,"2003"
544,"CB_2003_PR","Puerto Rico",11,"2003"
3,"CB_2003_PW","Palau",0,"2003"
157,"CB_2003_RI","Rhode Island",8,"2003"
1078,"CB_2003_SC","South Carolina",75,"2003"
309,"CB_2003_SD","South Dakota",90,"2003"
1812,"CB_2003_TN","Tennessee",188,"2003"
4060,"CB_2003_TX","Texas",653,"2003"
66971,"CB_2003_US","United States",7750,"2003"
67592,"CB_2003_USA","United States & Other Areas",7767,"2003"
491,"CB_2003_UT","Utah",60,"2003"
2086,"CB_2003_VA","Virginia",125,"2003"
20,"CB_2003_VI","Virgin Islands Of The U.S.",2,"2003"
221,"CB_2003_VT","Vermont",14,"2003"
1268,"CB_2003_WA","Washington",78,"2003"
1530,"CB_2003_WI","Wisconsin",272,"2003"
548,"CB_2003_WV","West Virginia",67,"2003"
153,"CB_2003_WY","Wyoming",43,"2003"
114,"CB_2002_AK","Alaska",6,"2002"
1250,"CB_2002_AL","Alabama",151,"2002"
1029,"CB_2002_AR","Arkansas",169,"2002"
4,"CB_2002_AS","American Samoa",1,"2002"
855,"CB_2002_AZ","Arizona",43,"2002"
4481,"CB_2002_CA","California",286,"2002"
1042,"CB_2002_CO","Colorado",169,"2002"
434,"CB_2002_CT","Connecticut",26,"2002"
153,"CB_2002_DC","District Of Columbia",4,"2002"
183,"CB_2002_DE","Delaware",28,"2002"
3818,"CB_2002_FL","Florida",260,"2002"
9,"CB_2002_FM","Federated States of Micronesia",1,"2002"
2083,"CB_2002_GA","Georgia",319,"2002"
26,"CB_2002_GU","Guam",2,"2002"
0,"CB_2002_HI","Hawaii",7,"2002"
952,"CB_2002_IA","Iowa",410,"2002"
373,"CB_2002_ID","Idaho",17,"2002"
3023,"CB_2002_IL","Illinois",677,"2002"
1812,"CB_2002_IN","Indiana",151,"2002"
968,"CB_2002_KS","Kansas",363,"2002"
1400,"CB_2002_KY","Kentucky",221,"2002"
1274,"CB_2002_LA","Louisiana",140,"2002"
937,"CB_2002_MA","Massachusetts",39,"2002"
1331,"CB_2002_MD","Maryland",73,"2002"
278,"CB_2002_ME","Maine",15,"2002"
3,"CB_2002_MH","Marshall Islands",0,"2002"
2616,"CB_2002_MI","Michigan",160,"2002"
1121,"CB_2002_MN","Minnesota",465,"2002"
1683,"CB_2002_MO","Missouri",349,"2002"
12,"CB_2002_MP","Northern Mariana Islands",0,"2002"
1002,"CB_2002_MS","Mississippi",97,"2002"
271,"CB_2002_MT","Montana",80,"2002"
2303,"CB_2002_NC","North Carolina",71,"2002"
282,"CB_2002_ND","North Dakota",104,"2002"
584,"CB_2002_NE","Nebraska",268,"2002"
216,"CB_2002_NH","New Hampshire",14,"2002"
2191,"CB_2002_NJ","New Jersey",82,"2002"
387,"CB_2002_NM","New Mexico",51,"2002"
367,"CB_2002_NV","Nevada",34,"2002"
3422,"CB_2002_NY","New York",136,"2002"
3190,"CB_2002_OH","Ohio",198,"2002"
866,"CB_2002_OK","Oklahoma",274,"2002"
743,"CB_2002_OR","Oregon",32,"2002"
618,"CB_2002_OT","Other Areas",17,"2002"
3184,"CB_2002_PA","Pennsylvania",173,"2002"
540,"CB_2002_PR","Puerto Rico",11,"2002"
3,"CB_2002_PW","Palau",0,"2002"
154,"CB_2002_RI","Rhode Island",7,"2002"
1069,"CB_2002_SC","South Carolina",77,"2002"
304,"CB_2002_SD","South Dakota",93,"2002"
1752,"CB_2002_TN","Tennessee",192,"2002"
3841,"CB_2002_TX","Texas",669,"2002"
65651,"CB_2002_US","United States",7870,"2002"
66269,"CB_2002_USA","United States & Other Areas",7887,"2002"
487,"CB_2002_UT","Utah",56,"2002"
2166,"CB_2002_VA","Virginia",130,"2002"
21,"CB_2002_VI","Virgin Islands Of The U.S.",2,"2002"
214,"CB_2002_VT","Vermont",15,"2002"
1253,"CB_2002_WA","Washington",80,"2002"
1503,"CB_2002_WI","Wisconsin",273,"2002"
547,"CB_2002_WV","West Virginia",69,"2002"
143,"CB_2002_WY","Wyoming",47,"2002"
118,"CB_2001_AK","Alaska",6,"2001"
1238,"CB_2001_AL","Alabama",158,"2001"
997,"CB_2001_AR","Arkansas",178,"2001"
4,"CB_2001_AS","American Samoa",1,"2001"
834,"CB_2001_AZ","Arizona",43,"2001"
4448,"CB_2001_CA","California",301,"2001"
995,"CB_2001_CO","Colorado",176,"2001"
430,"CB_2001_CT","Connecticut",25,"2001"
155,"CB_2001_DC","District Of Columbia",4,"2001"
182,"CB_2001_DE","Delaware",34,"2001"
3879,"CB_2001_FL","Florida",261,"2001"
13,"CB_2001_FM","Federated States of Micronesia",1,"2001"
2007,"CB_2001_GA","Georgia",324,"2001"
27,"CB_2001_GU","Guam",2,"2001"
0,"CB_2001_HI","Hawaii",8,"2001"
930,"CB_2001_IA","Iowa",417,"2001"
362,"CB_2001_ID","Idaho",17,"2001"
2887,"CB_2001_IL","Illinois",692,"2001"
1806,"CB_2001_IN","Indiana",154,"2001"
926,"CB_2001_KS","Kansas",373,"2001"
1382,"CB_2001_KY","Kentucky",230,"2001"
1266,"CB_2001_LA","Louisiana",143,"2001"
844,"CB_2001_MA","Massachusetts",43,"2001"
1338,"CB_2001_MD","Maryland",74,"2001"
281,"CB_2001_ME","Maine",15,"2001"
5,"CB_2001_MH","Marshall Islands",0,"2001"
2509,"CB_2001_MI","Michigan",162,"2001"
1091,"CB_2001_MN","Minnesota",481,"2001"
1690,"CB_2001_MO","Missouri",351,"2001"
13,"CB_2001_MP","Northern Mariana Islands",0,"2001"
1006,"CB_2001_MS","Mississippi",99,"2001"
264,"CB_2001_MT","Montana",82,"2001"
2250,"CB_2001_NC","North Carolina",75,"2001"
281,"CB_2001_ND","North Dakota",104,"2001"
560,"CB_2001_NE","Nebraska",275,"2001"
213,"CB_2001_NH","New Hampshire",15,"2001"
2134,"CB_2001_NJ","New Jersey",80,"2001"
387,"CB_2001_NM","New Mexico",53,"2001"
361,"CB_2001_NV","Nevada",34,"2001"
3343,"CB_2001_NY","New York",141,"2001"
3048,"CB_2001_OH","Ohio",201,"2001"
831,"CB_2001_OK","Oklahoma",283,"2001"
753,"CB_2001_OR","Oregon",33,"2001"
616,"CB_2001_OT","Other Areas",18,"2001"
3193,"CB_2001_PA","Pennsylvania",180,"2001"
530,"CB_2001_PR","Puerto Rico",12,"2001"
3,"CB_2001_PW","Palau",0,"2001"
157,"CB_2001_RI","Rhode Island",8,"2001"
1050,"CB_2001_SC","South Carolina",77,"2001"
292,"CB_2001_SD","South Dakota",93,"2001"
1751,"CB_2001_TN","Tennessee",189,"2001"
3684,"CB_2001_TX","Texas",687,"2001"
64378,"CB_2001_US","United States",8064,"2001"
64994,"CB_2001_USA","United States & Other Areas",8082,"2001"
489,"CB_2001_UT","Utah",55,"2001"
2171,"CB_2001_VA","Virginia",138,"2001"
21,"CB_2001_VI","Virgin Islands Of The U.S.",2,"2001"
188,"CB_2001_VT","Vermont",18,"2001"
1215,"CB_2001_WA","Washington",76,"2001"
1487,"CB_2001_WI","Wisconsin",281,"2001"
539,"CB_2001_WV","West Virginia",72,"2001"
136,"CB_2001_WY","Wyoming",45,"2001"
120,"CB_2000_AK","Alaska",6,"2000"
1245,"CB_2000_AL","Alabama",158,"2000"
988,"CB_2000_AR","Arkansas",185,"2000"
4,"CB_2000_AS","American Samoa",1,"2000"
842,"CB_2000_AZ","Arizona",45,"2000"
4433,"CB_2000_CA","California",304,"2000"
942,"CB_2000_CO","Colorado",181,"2000"
414,"CB_2000_CT","Connecticut",23,"2000"
158,"CB_2000_DC","District Of Columbia",6,"2000"
172,"CB_2000_DE","Delaware",33,"2000"
3863,"CB_2000_FL","Florida",265,"2000"
13,"CB_2000_FM","Federated States of Micronesia",1,"2000"
1959,"CB_2000_GA","Georgia",338,"2000"
28,"CB_2000_GU","Guam",2,"2000"
0,"CB_2000_HI","Hawaii",8,"2000"
878,"CB_2000_IA","Iowa",431,"2000"
368,"CB_2000_ID","Idaho",18,"2000"
2834,"CB_2000_IL","Illinois",711,"2000"
1741,"CB_2000_IN","Indiana",153,"2000"
873,"CB_2000_KS","Kansas",376,"2000"
1335,"CB_2000_KY","Kentucky",233,"2000"
1255,"CB_2000_LA","Louisiana",149,"2000"
818,"CB_2000_MA","Massachusetts",43,"2000"
1318,"CB_2000_MD","Maryland",74,"2000"
296,"CB_2000_ME","Maine",15,"2000"
5,"CB_2000_MH","Marshall Islands",0,"2000"
2413,"CB_2000_MI","Michigan",169,"2000"
1036,"CB_2000_MN","Minnesota",491,"2000"
1630,"CB_2000_MO","Missouri",362,"2000"
13,"CB_2000_MP","Northern Mariana Islands",0,"2000"
1004,"CB_2000_MS","Mississippi",101,"2000"
231,"CB_2000_MT","Montana",84,"2000"
2231,"CB_2000_NC","North Carolina",75,"2000"
275,"CB_2000_ND","North Dakota",110,"2000"
548,"CB_2000_NE","Nebraska",276,"2000"
218,"CB_2000_NH","New Hampshire",16,"2000"
2189,"CB_2000_NJ","New Jersey",81,"2000"
405,"CB_2000_NM","New Mexico",54,"2000"
366,"CB_2000_NV","Nevada",32,"2000"
3364,"CB_2000_NY","New York",148,"2000"
3058,"CB_2000_OH","Ohio",211,"2000"
796,"CB_2000_OK","Oklahoma",286,"2000"
729,"CB_2000_OR","Oregon",42,"2000"
611,"CB_2000_OT","Other Areas",18,"2000"
3492,"CB_2000_PA","Pennsylvania",187,"2000"
524,"CB_2000_PR","Puerto Rico",12,"2000"
3,"CB_2000_PW","Palau",0,"2000"
137,"CB_2000_RI","Rhode Island",7,"2000"
1021,"CB_2000_SC","South Carolina",79,"2000"
288,"CB_2000_SD","South Dakota",97,"2000"
1712,"CB_2000_TN","Tennessee",197,"2000"
3513,"CB_2000_TX","Texas",709,"2000"
63602,"CB_2000_US","United States",8297,"2000"
64213,"CB_2000_USA","United States & Other Areas",8315,"2000"
495,"CB_2000_UT","Utah",56,"2000"
2142,"CB_2000_VA","Virginia",143,"2000"
21,"CB_2000_VI","Virgin Islands Of The U.S.",2,"2000"
188,"CB_2000_VT","Vermont",18,"2000"
1193,"CB_2000_WA","Washington",80,"2000"
1428,"CB_2000_WI","Wisconsin",315,"2000"
524,"CB_2000_WV","West Virginia",70,"2000"
124,"CB_2000_WY","Wyoming",46,"2000"
122,"CB_1999_AK","Alaska",6,"1999"
1247,"CB_1999_AL","Alabama",156,"1999"
938,"CB_1999_AR","Arkansas",195,"1999"
4,"CB_1999_AS","American Samoa",1,"1999"
862,"CB_1999_AZ","Arizona",44,"1999"
4467,"CB_1999_CA","California",325,"1999"
894,"CB_1999_CO","Colorado",189,"1999"
495,"CB_1999_CT","Connecticut",24,"1999"
166,"CB_1999_DC","District Of Columbia",6,"1999"
186,"CB_1999_DE","Delaware",34,"1999"
3880,"CB_1999_FL","Florida",272,"1999"
14,"CB_1999_FM","Federated States of Micronesia",1,"1999"
1860,"CB_1999_GA","Georgia",345,"1999"
28,"CB_1999_GU","Guam",2,"1999"
0,"CB_1999_HI","Hawaii",10,"1999"
881,"CB_1999_IA","Iowa",440,"1999"
358,"CB_1999_ID","Idaho",17,"1999"
2684,"CB_1999_IL","Illinois",725,"1999"
1767,"CB_1999_IN","Indiana",158,"1999"
843,"CB_1999_KS","Kansas",387,"1999"
1263,"CB_1999_KY","Kentucky",248,"1999"
1244,"CB_1999_LA","Louisiana",153,"1999"
997,"CB_1999_MA","Massachusetts",45,"1999"
1333,"CB_1999_MD","Maryland",77,"1999"
227,"CB_1999_ME","Maine",16,"1999"
5,"CB_1999_MH","Marshall Islands",0,"1999"
2384,"CB_1999_MI","Michigan",172,"1999"
999,"CB_1999_MN","Minnesota",497,"1999"
1578,"CB_1999_MO","Missouri",365,"1999"
11,"CB_1999_MP","Northern Mariana Islands",0,"1999"
1010,"CB_1999_MS","Mississippi",99,"1999"
215,"CB_1999_MT","Montana",85,"1999"
2242,"CB_1999_NC","North Carolina",71,"1999"
265,"CB_1999_ND","North Dakota",114,"1999"
525,"CB_1999_NE","Nebraska",301,"1999"
226,"CB_1999_NH","New Hampshire",19,"1999"
2180,"CB_1999_NJ","New Jersey",75,"1999"
409,"CB_1999_NM","New Mexico",54,"1999"
371,"CB_1999_NV","Nevada",27,"1999"
3387,"CB_1999_NY","New York",150,"1999"
3019,"CB_1999_OH","Ohio",219,"1999"
746,"CB_1999_OK","Oklahoma",300,"1999"
716,"CB_1999_OR","Oregon",44,"1999"
599,"CB_1999_OT","Other Areas",18,"1999"
3488,"CB_1999_PA","Pennsylvania",193,"1999"
515,"CB_1999_PR","Puerto Rico",12,"1999"
3,"CB_1999_PW","Palau",0,"1999"
183,"CB_1999_RI","Rhode Island",6,"1999"
975,"CB_1999_SC","South Carolina",77,"1999"
278,"CB_1999_SD","South Dakota",102,"1999"
1757,"CB_1999_TN","Tennessee",201,"1999"
3412,"CB_1999_TX","Texas",754,"1999"
63032,"CB_1999_US","United States",8564,"1999"
63631,"CB_1999_USA","United States & Other Areas",8582,"1999"
487,"CB_1999_UT","Utah",51,"1999"
2150,"CB_1999_VA","Virginia",147,"1999"
19,"CB_1999_VI","Virgin Islands Of The U.S.",2,"1999"
201,"CB_1999_VT","Vermont",20,"1999"
1106,"CB_1999_WA","Washington",80,"1999"
1386,"CB_1999_WI","Wisconsin",337,"1999"
509,"CB_1999_WV","West Virginia",82,"1999"
114,"CB_1999_WY","Wyoming",50,"1999"
126,"CB_1998_AK","Alaska",6,"1998"
1257,"CB_1998_AL","Alabama",160,"1998"
857,"CB_1998_AR","Arkansas",202,"1998"
4,"CB_1998_AS","American Samoa",1,"1998"
853,"CB_1998_AZ","Arizona",43,"1998"
4408,"CB_1998_CA","California",335,"1998"
817,"CB_1998_CO","Colorado",195,"1998"
519,"CB_1998_CT","Connecticut",28,"1998"
166,"CB_1998_DC","District Of Columbia",7,"1998"
184,"CB_1998_DE","Delaware",35,"1998"
3694,"CB_1998_FL","Florida",250,"1998"
16,"CB_1998_FM","Federated States of Micronesia",1,"1998"
1791,"CB_1998_GA","Georgia",349,"1998"
28,"CB_1998_GU","Guam",2,"1998"
0,"CB_1998_HI","Hawaii",12,"1998"
877,"CB_1998_IA","Iowa",443,"1998"
342,"CB_1998_ID","Idaho",17,"1998"
2541,"CB_1998_IL","Illinois",745,"1998"
1754,"CB_1998_IN","Indiana",169,"1998"
808,"CB_1998_KS","Kansas",393,"1998"
1212,"CB_1998_KY","Kentucky",261,"1998"
1259,"CB_1998_LA","Louisiana",150,"1998"
883,"CB_1998_MA","Massachusetts",44,"1998"
1299,"CB_1998_MD","Maryland",80,"1998"
224,"CB_1998_ME","Maine",17,"1998"
5,"CB_1998_MH","Marshall Islands",0,"1998"
2343,"CB_1998_MI","Michigan",165,"1998"
968,"CB_1998_MN","Minnesota",514,"1998"
1502,"CB_1998_MO","Missouri",382,"1998"
11,"CB_1998_MP","Northern Mariana Islands",0,"1998"
986,"CB_1998_MS","Mississippi",96,"1998"
193,"CB_1998_MT","Montana",89,"1998"
2207,"CB_1998_NC","North Carolina",68,"1998"
261,"CB_1998_ND","North Dakota",114,"1998"
490,"CB_1998_NE","Nebraska",315,"1998"
229,"CB_1998_NH","New Hampshire",19,"1998"
2092,"CB_1998_NJ","New Jersey",72,"1998"
419,"CB_1998_NM","New Mexico",58,"1998"
390,"CB_1998_NV","Nevada",27,"1998"
3402,"CB_1998_NY","New York",153,"1998"
2989,"CB_1998_OH","Ohio",220,"1998"
669,"CB_1998_OK","Oklahoma",309,"1998"
684,"CB_1998_OR","Oregon",42,"1998"
583,"CB_1998_OT","Other Areas",18,"1998"
3434,"CB_1998_PA","Pennsylvania",197,"1998"
497,"CB_1998_PR","Puerto Rico",12,"1998"
3,"CB_1998_PW","Palau",0,"1998"
183,"CB_1998_RI","Rhode Island",7,"1998"
962,"CB_1998_SC","South Carolina",77,"1998"
282,"CB_1998_SD","South Dakota",104,"1998"
1668,"CB_1998_TN","Tennessee",204,"1998"
3329,"CB_1998_TX","Texas",799,"1998"
61357,"CB_1998_US","United States",8757,"1998"
61940,"CB_1998_USA","United States & Other Areas",8775,"1998"
474,"CB_1998_UT","Utah",50,"1998"
2091,"CB_1998_VA","Virginia",152,"1998"
19,"CB_1998_VI","Virgin Islands Of The U.S.",2,"1998"
196,"CB_1998_VT","Vermont",21,"1998"
1105,"CB_1998_WA","Washington",77,"1998"
1332,"CB_1998_WI","Wisconsin",344,"1998"
505,"CB_1998_WV","West Virginia",89,"1998"
101,"CB_1998_WY","Wyoming",52,"1998"
125,"CB_1997_AK","Alaska",6,"1997"
1220,"CB_1997_AL","Alabama",175,"1997"
791,"CB_1997_AR","Arkansas",226,"1997"
4,"CB_1997_AS","American Samoa",1,"1997"
839,"CB_1997_AZ","Arizona",41,"1997"
4326,"CB_1997_CA","California",336,"1997"
727,"CB_1997_CO","Colorado",215,"1997"
528,"CB_1997_CT","Connecticut",26,"1997"
174,"CB_1997_DC","District Of Columbia",6,"1997"
185,"CB_1997_DE","Delaware",35,"1997"
3562,"CB_1997_FL","Florida",266,"1997"
16,"CB_1997_FM","Federated States of Micronesia",1,"1997"
1708,"CB_1997_GA","Georgia",353,"1997"
25,"CB_1997_GU","Guam",2,"1997"
0,"CB_1997_HI","Hawaii",14,"1997"
882,"CB_1997_IA","Iowa",453,"1997"
346,"CB_1997_ID","Idaho",17,"1997"
2287,"CB_1997_IL","Illinois",784,"1997"
1744,"CB_1997_IN","Indiana",185,"1997"
763,"CB_1997_KS","Kansas",403,"1997"
1109,"CB_1997_KY","Kentucky",271,"1997"
1269,"CB_1997_LA","Louisiana",158,"1997"
888,"CB_1997_MA","Massachusetts",46,"1997"
1275,"CB_1997_MD","Maryland",83,"1997"
265,"CB_1997_ME","Maine",17,"1997"
5,"CB_1997_MH","Marshall Islands",0,"1997"
2381,"CB_1997_MI","Michigan",163,"1997"
921,"CB_1997_MN","Minnesota",520,"1997"
1401,"CB_1997_MO","Missouri",404,"1997"
9,"CB_1997_MP","Northern Mariana Islands",0,"1997"
984,"CB_1997_MS","Mississippi",107,"1997"
146,"CB_1997_MT","Montana",96,"1997"
2135,"CB_1997_NC","North Carolina",61,"1997"
248,"CB_1997_ND","North Dakota",117,"1997"
471,"CB_1997_NE","Nebraska",326,"1997"
195,"CB_1997_NH","New Hampshire",21,"1997"
2054,"CB_1997_NJ","New Jersey",71,"1997"
420,"CB_1997_NM","New Mexico",58,"1997"
364,"CB_1997_NV","Nevada",25,"1997"
3369,"CB_1997_NY","New York",153,"1997"
2970,"CB_1997_OH","Ohio",235,"1997"
640,"CB_1997_OK","Oklahoma",320,"1997"
702,"CB_1997_OR","Oregon",41,"1997"
563,"CB_1997_OT","Other Areas",19,"1997"
3550,"CB_1997_PA","Pennsylvania",212,"1997"
482,"CB_1997_PR","Puerto Rico",13,"1997"
3,"CB_1997_PW","Palau",0,"1997"
180,"CB_1997_RI","Rhode Island",9,"1997"
904,"CB_1997_SC","South Carolina",80,"1997"
266,"CB_1997_SD","South Dakota",106,"1997"
1583,"CB_1997_TN","Tennessee",232,"1997"
3126,"CB_1997_TX","Texas",839,"1997"
59641,"CB_1997_US","United States",9125,"1997"
60204,"CB_1997_USA","United States & Other Areas",9144,"1997"
458,"CB_1997_UT","Utah",49,"1997"
2045,"CB_1997_VA","Virginia",151,"1997"
19,"CB_1997_VI","Virgin Islands Of The U.S.",2,"1997"
196,"CB_1997_VT","Vermont",21,"1997"
1130,"CB_1997_WA","Washington",79,"1997"
1204,"CB_1997_WI","Wisconsin",360,"1997"
489,"CB_1997_WV","West Virginia",100,"1997"
96,"CB_1997_WY","Wyoming",53,"1997"
119,"CB_1996_AK","Alaska",8,"1996"
1171,"CB_1996_AL","Alabama",183,"1996"
742,"CB_1996_AR","Arkansas",234,"1996"
4,"CB_1996_AS","American Samoa",1,"1996"
814,"CB_1996_AZ","Arizona",35,"1996"
4454,"CB_1996_CA","California",360,"1996"
598,"CB_1996_CO","Colorado",223,"1996"
468,"CB_1996_CT","Connecticut",28,"1996"
175,"CB_1996_DC","District Of Columbia",8,"1996"
187,"CB_1996_DE","Delaware",40,"1996"
3331,"CB_1996_FL","Florida",289,"1996"
14,"CB_1996_FM","Federated States of Micronesia",1,"1996"
1628,"CB_1996_GA","Georgia",354,"1996"
25,"CB_1996_GU","Guam",2,"1996"
0,"CB_1996_HI","Hawaii",14,"1996"
787,"CB_1996_IA","Iowa",467,"1996"
334,"CB_1996_ID","Idaho",17,"1996"
2043,"CB_1996_IL","Illinois",833,"1996"
1691,"CB_1996_IN","Indiana",204,"1996"
698,"CB_1996_KS","Kansas",416,"1996"
1070,"CB_1996_KY","Kentucky",275,"1996"
1216,"CB_1996_LA","Louisiana",172,"1996"
709,"CB_1996_MA","Massachusetts",50,"1996"
1268,"CB_1996_MD","Maryland",90,"1996"
278,"CB_1996_ME","Maine",20,"1996"
5,"CB_1996_MH","Marshall Islands",0,"1996"
2304,"CB_1996_MI","Michigan",176,"1996"
829,"CB_1996_MN","Minnesota",519,"1996"
1231,"CB_1996_MO","Missouri",430,"1996"
9,"CB_1996_MP","Northern Mariana Islands",0,"1996"
911,"CB_1996_MS","Mississippi",111,"1996"
121,"CB_1996_MT","Montana",100,"1996"
2163,"CB_1996_NC","North Carolina",56,"1996"
205,"CB_1996_ND","North Dakota",123,"1996"
460,"CB_1996_NE","Nebraska",329,"1996"
164,"CB_1996_NH","New Hampshire",20,"1996"
2023,"CB_1996_NJ","New Jersey",66,"1996"
400,"CB_1996_NM","New Mexico",68,"1996"
274,"CB_1996_NV","Nevada",26,"1996"
3478,"CB_1996_NY","New York",160,"1996"
2899,"CB_1996_OH","Ohio",257,"1996"
598,"CB_1996_OK","Oklahoma",332,"1996"
678,"CB_1996_OR","Oregon",43,"1996"
539,"CB_1996_OT","Other Areas",20,"1996"
3468,"CB_1996_PA","Pennsylvania",217,"1996"
460,"CB_1996_PR","Puerto Rico",14,"1996"
3,"CB_1996_PW","Palau",0,"1996"
177,"CB_1996_RI","Rhode Island",8,"1996"
903,"CB_1996_SC","South Carolina",79,"1996"
245,"CB_1996_SD","South Dakota",117,"1996"
1516,"CB_1996_TN","Tennessee",238,"1996"
2873,"CB_1996_TX","Texas",878,"1996"
57072,"CB_1996_US","United States",9510,"1996"
57611,"CB_1996_USA","United States & Other Areas",9530,"1996"
440,"CB_1996_UT","Utah",48,"1996"
1988,"CB_1996_VA","Virginia",154,"1996"
19,"CB_1996_VI","Virgin Islands Of The U.S.",2,"1996"
170,"CB_1996_VT","Vermont",22,"1996"
1107,"CB_1996_WA","Washington",82,"1996"
1131,"CB_1996_WI","Wisconsin",364,"1996"
461,"CB_1996_WV","West Virginia",113,"1996"
74,"CB_1996_WY","Wyoming",54,"1996"
115,"CB_1995_AK","Alaska",8,"1995"
1097,"CB_1995_AL","Alabama",186,"1995"
710,"CB_1995_AR","Arkansas",243,"1995"
4,"CB_1995_AS","American Samoa",1,"1995"
723,"CB_1995_AZ","Arizona",34,"1995"
4631,"CB_1995_CA","California",383,"1995"
513,"CB_1995_CO","Colorado",231,"1995"
503,"CB_1995_CT","Connecticut",39,"1995"
164,"CB_1995_DC","District Of Columbia",13,"1995"
190,"CB_1995_DE","Delaware",41,"1995"
3179,"CB_1995_FL","Florida",333,"1995"
14,"CB_1995_FM","Federated States of Micronesia",1,"1995"
1544,"CB_1995_GA","Georgia",383,"1995"
23,"CB_1995_GU","Guam",2,"1995"
0,"CB_1995_HI","Hawaii",14,"1995"
742,"CB_1995_IA","Iowa",491,"1995"
329,"CB_1995_ID","Idaho",19,"1995"
1846,"CB_1995_IL","Illinois",864,"1995"
1643,"CB_1995_IN","Indiana",211,"1995"
648,"CB_1995_KS","Kansas",433,"1995"
1034,"CB_1995_KY","Kentucky",276,"1995"
1109,"CB_1995_LA","Louisiana",185,"1995"
789,"CB_1995_MA","Massachusetts",51,"1995"
1257,"CB_1995_MD","Maryland",91,"1995"
276,"CB_1995_ME","Maine",20,"1995"
5,"CB_1995_MH","Marshall Islands",0,"1995"
2296,"CB_1995_MI","Michigan",180,"1995"
821,"CB_1995_MN","Minnesota",525,"1995"
1152,"CB_1995_MO","Missouri",459,"1995"
9,"CB_1995_MP","Northern Mariana Islands",0,"1995"
886,"CB_1995_MS","Mississippi",110,"1995"
108,"CB_1995_MT","Montana",104,"1995"
2120,"CB_1995_NC","North Carolina",61,"1995"
194,"CB_1995_ND","North Dakota",127,"1995"
422,"CB_1995_NE","Nebraska",336,"1995"
164,"CB_1995_NH","New Hampshire",23,"1995"
2076,"CB_1995_NJ","New Jersey",83,"1995"
371,"CB_1995_NM","New Mexico",68,"1995"
256,"CB_1995_NV","Nevada",25,"1995"
3437,"CB_1995_NY","New York",166,"1995"
2851,"CB_1995_OH","Ohio",261,"1995"
558,"CB_1995_OK","Oklahoma",342,"1995"
702,"CB_1995_OR","Oregon",43,"1995"
520,"CB_1995_OT","Other Areas",21,"1995"
3542,"CB_1995_PA","Pennsylvania",224,"1995"
443,"CB_1995_PR","Puerto Rico",15,"1995"
3,"CB_1995_PW","Palau",0,"1995"
162,"CB_1995_RI","Rhode Island",8,"1995"
913,"CB_1995_SC","South Carolina",71,"1995"
228,"CB_1995_SD","South Dakota",116,"1995"
1462,"CB_1995_TN","Tennessee",240,"1995"
2605,"CB_1995_TX","Texas",935,"1995"
55656,"CB_1995_US","United States",9922,"1995"
56176,"CB_1995_USA","United States & Other Areas",9943,"1995"
427,"CB_1995_UT","Utah",45,"1995"
1957,"CB_1995_VA","Virginia",157,"1995"
19,"CB_1995_VI","Virgin Islands Of The U.S.",2,"1995"
183,"CB_1995_VT","Vermont",20,"1995"
1124,"CB_1995_WA","Washington",86,"1995"
1086,"CB_1995_WI","Wisconsin",387,"1995"
442,"CB_1995_WV","West Virginia",118,"1995"
69,"CB_1995_WY","Wyoming",53,"1995"
113,"CB_1994_AK","Alaska",8,"1994"
1065,"CB_1994_AL","Alabama",208,"1994"
674,"CB_1994_AR","Arkansas",257,"1994"
4,"CB_1994_AS","American Samoa",1,"1994"
772,"CB_1994_AZ","Arizona",34,"1994"
4305,"CB_1994_CA","California",404,"1994"
453,"CB_1994_CO","Colorado",279,"1994"
