"BRANCHES","ID","STNAME","TOTAL","YEAR"
161,"CB_2021_RI","Rhode Island",4,"2021"
1105,"CB_2021_SC","South Carolina",35,"2021"
383,"CB_2021_SD","South Dakota",56,"2021"
1859,"CB_2021_TN","Tennessee",116,"2021"
5855,"CB_2021_TX","Texas",371,"2021"
70314,"CB_2021_US","United States",4231,"2021"
70644,"CB_2021_USA","United States & Other Areas",4238,"2021"
463,"CB_2021_UT","Utah",41,"2021"
1989,"CB_2021_VA","Virginia",63,"2021"
18,"CB_2021_VI","Virgin Islands Of The U.S.",1,"2021"
137,"CB_2021_VT","Vermont",6,"2021"
1328,"CB_2021_WA","Washington",33,"2021"
1478,"CB_2021_WI","Wisconsin",151,"2021"
521,"CB_2021_WV","West Virginia",43,"2021"
179,"CB_2021_WY","Wyoming",28,"2021"
109,"CB_2020_AK","Alaska",5,"2020"
1358,"CB_2020_AL","Alabama",103,"2020"
1264,"CB_2020_AR","Arkansas",85,"2020"
3,"CB_2020_AS","American Samoa",0,"2020"
1026,"CB_2020_AZ","Arizona",13,"2020"
6214,"CB_2020_CA","California",133,"2020"
1316,"CB_2020_CO","Colorado",67,"2020"
559,"CB_2020_CT","Connecticut",11,"2020"
208,"CB_2020_DC","District Of Columbia",4,"2020"
197,"CB_2020_DE","Delaware",17,"2020"
4463,"CB_2020_FL","Florida",93,"2020"
7,"CB_2020_FM","Federated States of Micronesia",1,"2020"
2076,"CB_2020_GA","Georgia",147,"2020"
15,"CB_2020_GU","Guam",2,"2020"
169,"CB_2020_HI","Hawaii",6,"2020"
1199,"CB_2020_IA","Iowa",264,"2020"
434,"CB_2020_ID","Idaho",10,"2020"
3497,"CB_2020_IL","Illinois",354,"2020"
1646,"CB_2020_IN","Indiana",78,"2020"
1107,"CB_2020_KS","Kansas",213,"2020"
1438,"CB_2020_KY","Kentucky",124,"2020"
1232,"CB_2020_LA","Louisiana",96,"2020"
1044,"CB_2020_MA","Massachusetts",17,"2020"
1317,"CB_2020_MD","Maryland",24,"2020"
205,"CB_2020_ME","Maine",5,"2020"
1,"CB_2020_MH","Marshall Islands",0,"2020"
2281,"CB_2020_MI","Michigan",80,"2020"
